order_id,item_id,order_date,required_date,shipped_date,shipment_delay_days,product_id,product_name,category_name,brand_name,model_year,store_id,store_name,store_city,store_region,staff_id,staff_full_name,customer_id,customer_full_name,customer_city,customer_region,quantity,list_price,discount,total_revenue,discount_amount,net_sales
1,1,2016-01-01,2016-01-03,2016-01-03,0,20,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",259,"Johnathan Velazquez",Pleasanton,CA,1,599.99,0.20,599.99,119.9980,479.9920
4,4,2016-01-03,2016-01-04,2016-01-05,1,16,"Electra Townie Original 7D EQ - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",175,"Nova Hess",Duarte,CA,2,599.99,0.05,1199.98,59.9990,1139.9810
9,2,2016-01-05,2016-01-08,2016-01-08,0,20,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",60,"Neil Mccall","San Carlos",CA,1,599.99,0.05,599.99,29.9995,569.9905
12,2,2016-01-06,2016-01-08,2016-01-09,1,17,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Pure Cycles",2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",91,"Marvin Mullins","San Diego",CA,1,429.00,0.07,429.00,30.0300,398.9700
14,1,2016-01-09,2016-01-11,2016-01-12,1,18,"Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Pure Cycles",2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",258,"Maribel William",Torrance,CA,1,449.00,0.07,449.00,31.4300,417.5700
16,3,2016-01-12,2016-01-15,2016-01-15,0,20,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",552,"Lea Key",Banning,CA,1,599.99,0.10,599.99,59.9990,539.9910
17,4,2016-01-12,2016-01-14,2016-01-14,0,3,"Surly Wednesday Frameset - 2016","Mountain Bikes",Surly,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",1175,"Sindy Anderson",Pomona,CA,2,999.99,0.07,1999.98,139.9986,1859.9814
18,5,2016-01-14,2016-01-17,2016-01-15,-2,9,"Trek Conduit+ - 2016","Electric Bikes",Trek,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",541,"Lanita Burton",Coachella,CA,2,2999.99,0.07,5999.98,419.9986,5579.9814
19,1,2016-01-14,2016-01-17,2016-01-16,-1,15,"Electra Moto 1 - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",696,"Norine Huffman",Encino,CA,1,529.99,0.07,529.99,37.0993,492.8907
20,2,2016-01-14,2016-01-16,2016-01-17,1,3,"Surly Wednesday Frameset - 2016","Mountain Bikes",Surly,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",923,"Randee Pitts","Canyon Country",CA,1,999.99,0.10,999.99,99.9990,899.9910
22,1,2016-01-16,2016-01-18,2016-01-17,-1,22,"Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",1035,"Tangela Hurley",Campbell,CA,1,269.99,0.05,269.99,13.4995,256.4905
23,2,2016-01-16,2016-01-19,2016-01-19,0,20,"Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",1149,"Drucilla Gilliam","Santa Clara",CA,2,599.99,0.07,1199.98,83.9986,1115.9814
32,2,2016-01-21,2016-01-24,2016-01-22,-2,17,"Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Pure Cycles",2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",1259,"Kimbery Nieves","San Carlos",CA,2,429.00,0.05,858.00,42.9000,815.1000
40,1,2016-01-27,2016-01-28,2016-01-29,1,8,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",Trek,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",348,"Darren Witt",Coachella,CA,1,1799.99,0.20,1799.99,359.9980,1439.9920
52,5,2016-02-03,2016-02-04,2016-02-05,1,9,"Trek Conduit+ - 2016","Electric Bikes",Trek,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",767,"Twana Arnold",Anaheim,CA,2,2999.99,0.10,5999.98,599.9980,5399.9820
60,1,2016-02-06,2016-02-08,2016-02-07,-1,15,"Electra Moto 1 - 2016","Cruisers Bicycles",Electra,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",151,"Joesph Delacruz",Atwater,CA,2,529.99,0.20,1059.98,211.9960,847.9840
62,1,2016-02-07,2016-02-10,2016-02-10,0,4,"Trek Fuel EX 8 29 - 2016","Mountain Bikes",Trek,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",208,"Denis Logan",Ridgecrest,CA,2,2899.99,0.05,5799.98,289.9990,5509.9810
72,1,2016-02-12,2016-02-15,2016-02-13,-2,7,"Trek Slash 8 27.5 - 2016","Mountain Bikes",Trek,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",1386,"Cesar Wilkins","San Diego",CA,1,3999.99,0.05,3999.99,199.9995,3799.9905
77,2,2016-02-16,2016-02-19,2016-02-19,0,19,"Pure Cycles William 3-Speed - 2016","Cruisers Bicycles","Pure Cycles",2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",385,"Rochelle Ward",Glendora,CA,1,449.00,0.20,449.00,89.8000,359.2000
79,4,2016-02-17,2016-02-20,2016-02-20,0,8,"Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes",Trek,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",529,"Ellena Clements","Santa Monica",CA,1,1799.99,0.07,1799.99,125.9993,1673.9907
83,4,2016-02-19,2016-02-20,2016-02-20,0,6,"Surly Ice Cream Truck Frameset - 2016","Mountain Bikes",Surly,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",393,"Gertrude Terry",Upland,CA,1,469.99,0.05,469.99,23.4995,446.4905
91,3,2016-02-25,2016-02-27,2016-02-28,1,19,"Pure Cycles William 3-Speed - 2016","Cruisers Bicycles","Pure Cycles",2016,1,"Santa Cruz Bikes","Santa Cruz",CA,2,"Mireya Copeland",648,"Catrice Hicks","San Pablo",CA,1,449.00,0.10,449.00,44.9000,404.1000
93,5,2016-02-26,2016-02-28,2016-02-27,-1,7,"Trek Slash 8 27.5 - 2016","Mountain Bikes",Trek,2016,1,"Santa Cruz Bikes","Santa Cruz",CA,3,"Genna Serrano",1328,"Cindie Franklin",Lawndale,CA,2,3999.99,0.10,7999.98,799.9980,7199.9820
